stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1776086966.872494698,-2.402884659,0.089537201,9.438266689,0.060483932,0.085113384,-0.011283085,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991854426,-0.001078473,0.127372033,0.000000000,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.876728296,-2.412508267,0.067884077,9.462325710,0.058353402,0.082982853,-0.014478881,0.000000550,0.000000875,-0.000000432,0.000260056,0.000413559,-0.000203978,0.991833508,-0.000976570,0.127535632,-0.000028633,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.882473946,-2.443784996,0.051042761,9.483978830,0.051961817,0.078721792,-0.018739939,0.000002897,0.000004509,-0.000001948,0.000556730,0.000851268,-0.000323833,0.991806221,-0.000851779,0.127748536,-0.000076545,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.887802124,-2.477467773,0.058260468,9.486384732,0.045570225,0.070199676,-0.019805200,0.000006244,0.000010033,-0.000003687,0.000699731,0.001222207,-0.000329059,0.991783025,-0.000753852,0.127929072,-0.000125824,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.892481804,-2.515962208,0.070289979,9.522473265,0.043439697,0.060612299,-0.026196789,0.000009514,0.000016606,-0.000004934,0.000697625,0.001586995,-0.000203688,0.991765320,-0.000678850,0.128066613,-0.000176465,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.896811724,-2.535209425,0.099160809,9.541720482,0.044504963,0.053155445,-0.034718905,0.000012355,0.000024390,-0.000005245,0.000614651,0.002008380,0.000059882,0.991751276,-0.000612668,0.128175561,-0.000239172,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.902474642,-2.530397621,0.084725396,9.527285069,0.045570225,0.044633329,-0.040045228,0.000015465,0.000037416,-0.000003863,0.000483726,0.002592250,0.000428230,0.991735775,-0.000525639,0.128295599,-0.000341000,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.906746149,-2.540021229,0.087131298,9.496008341,0.044504963,0.036111213,-0.044306282,0.000017259,0.000049365,-0.000001637,0.000356392,0.003002479,0.000614364,0.991726393,-0.000461313,0.128368084,-0.000427953,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.912480593,-2.544833034,0.055854566,9.498414243,0.043439697,0.030784894,-0.047502082,0.000018663,0.000067904,0.000002404,0.000133227,0.003463134,0.000794914,0.991716316,-0.000379366,0.128445698,-0.000554886,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
1776086966.916766167,-2.588139273,0.046230957,9.508037852,0.041309170,0.024393305,-0.050697874,0.000018685,0.000083288,0.000006210,-0.000122854,0.003716282,0.000981165,0.991710373,-0.000322406,0.128491249,-0.000656095,0.009958435,0.006118694,-0.005679795,0.000000000,0.000000000,0.000000000
